"","s.1","s.2","s.3","index","stat","p.value"
"Scytodidae sp.",0,0,1,3,1,0.024
"Drosophila sp.",1,0,0,1,0.826393870541337,0.017
"Oxysarcodexia taitensis",1,0,0,1,0.78086880944303,0.033
"Wasmannia auropunctata",1,0,0,1,0.869538705852482,0.005
