"Especie","Total"
"Wasmannia_auropunctata",110619.999990737
"Hypogastruridae_sp._1",59853.999999515
"Solenopsis_geminata",13031.999999379
"Xenylla_yucatana",9884.999999079
"Galumna_sp.",8018.999999884
